Trial #,Training AUC,Validation AUC,SF Testing AUC
0,0.9783783923794369,0.9022556390977444,0.7152777777777778
1,0.9788968163681429,0.9007518796992481,0.6354166666666667
2,0.968107333842628,0.834658187599364,0.6284722222222223
3,0.9970994259993736,0.8974358974358975,0.6371527777777778
4,0.9810130266075389,0.9033189033189033,0.6631944444444444
5,0.9802895335822515,0.8703703703703705,0.6805555555555556
6,0.9798680436029834,0.9333333333333333,0.642361111111111
7,0.9988888888888889,0.96875,0.6822916666666667
8,0.9782463132261114,0.912037037037037,0.6180555555555556
9,0.9783944486885663,0.9427662957074721,0.6527777777777779
